"Depth","Column","Parameter","Process","Coefficient","SRC","R2","adjR2"
7.5,2,"eta_18O_reduction","Denitrification",-0.458112430853566,-0.821664298378493,0.978529907660128,0.977863594449581
7.5,2,"BD","Reduction",6.06518221696681,0.114236957665962,0.988707376133622,0.988356915392941
7.5,2,"eta_SP_diffusion","Reduction",-0.0962094089412504,-0.00754583107812442,0.988707376133622,0.988356915392941
7.5,2,"eta_18O_diffusion","Reduction",0.21791758318848,0.0172283614631662,0.988707376133622,0.988356915392941
7.5,2,"SP_nitrification","Reduction",0.0340185140039174,0.0190675652746071,0.988707376133622,0.988356915392941
7.5,2,"d18O_nitrification","Reduction",-0.147664532469396,-0.118255073831317,0.988707376133622,0.988356915392941
7.5,2,"SP_denitrification","Reduction",0.0387984252554262,0.0538583399425668,0.988707376133622,0.988356915392941
7.5,2,"d18O_denitrification","Reduction",-0.218927571915449,-0.200328736430877,0.988707376133622,0.988356915392941
7.5,2,"eta_SP_reduction","Reduction",-0.0279563613404805,-0.0120116972141738,0.988707376133622,0.988356915392941
7.5,2,"eta_18O_reduction","Reduction",0.592307289640241,0.956994621213849,0.988707376133622,0.988356915392941
7.5,3,"BD","Nitrification",-5.85127054287496,-0.0812913361540068,0.97512148495085,0.974349393104497
7.5,3,"eta_SP_diffusion","Nitrification",0.325089064635519,0.0213095189997536,0.97512148495085,0.974349393104497
7.5,3,"eta_18O_diffusion","Nitrification",0.22744041868782,0.0135525342642585,0.97512148495085,0.974349393104497
7.5,3,"SP_nitrification","Nitrification",-0.158615464248883,-0.0674784686439547,0.97512148495085,0.974349393104497
7.5,3,"d18O_nitrification","Nitrification",0.0839084598510308,0.056055291531696,0.97512148495085,0.974349393104497
7.5,3,"SP_denitrification","Nitrification",-0.449472106598013,-0.50848831563431,0.97512148495085,0.974349393104497
7.5,3,"d18O_denitrification","Nitrification",0.195349196040355,0.132984535932878,0.97512148495085,0.974349393104497
7.5,3,"eta_SP_reduction","Nitrification",1.06007582915497,0.367810764146257,0.97512148495085,0.974349393104497
7.5,3,"eta_18O_reduction","Nitrification",-0.599485782759883,-0.789134488193196,0.97512148495085,0.974349393104497
7.5,3,"BD","Denitrification",1.69346339217462,0.0319871729654358,0.978186220607775,0.977509241247327
7.5,3,"eta_SP_diffusion","Denitrification",-0.0893714751492637,-0.00796482384527809,0.978186220607775,0.977509241247327
7.5,3,"eta_18O_diffusion","Denitrification",-0.107021237207714,-0.00867019365492622,0.978186220607775,0.977509241247327
7.5,3,"SP_nitrification","Denitrification",0.0957353148175727,0.055372970757268,0.978186220607775,0.977509241247327
7.5,3,"d18O_nitrification","Denitrification",0.0271332486432473,0.024644421233696,0.978186220607775,0.977509241247327
7.5,3,"SP_denitrification","Denitrification",0.266088320832417,0.409270091089323,0.978186220607775,0.977509241247327
7.5,3,"d18O_denitrification","Denitrification",0.182312848445938,0.168737944021134,0.978186220607775,0.977509241247327
7.5,3,"eta_SP_reduction","Denitrification",-0.604744200341465,-0.285275961297409,0.978186220607775,0.977509241247327
7.5,3,"eta_18O_reduction","Denitrification",-0.453167073341183,-0.811029116383201,0.978186220607775,0.977509241247327
7.5,3,"BD","Reduction",6.21739323171915,0.108372074859848,0.986683372328762,0.986270097676896
7.5,3,"eta_SP_diffusion","Reduction",0.000809305678074072,6.65577822530356e-05,0.986683372328762,0.986270097676896
7.5,3,"eta_18O_diffusion","Reduction",0.116569152645335,0.00871468064065918,0.986683372328762,0.986270097676896
7.5,3,"SP_nitrification","Reduction",0.057237526691947,0.0305503028419365,0.986683372328762,0.986270097676896
7.5,3,"d18O_nitrification","Reduction",-0.139364420988302,-0.116809388370456,0.986683372328762,0.986270097676896
7.5,3,"SP_denitrification","Reduction",0.0345488949498148,0.049037391773021,0.986683372328762,0.986270097676896
7.5,3,"d18O_denitrification","Reduction",-0.216398725572956,-0.184824347575273,0.986683372328762,0.986270097676896
7.5,3,"eta_SP_reduction","Reduction",-0.031387545037234,-0.0136634326598751,0.986683372328762,0.986270097676896
7.5,3,"eta_18O_reduction","Reduction",0.578522230520366,0.955448223653125,0.986683372328762,0.986270097676896
7.5,4,"BD","Nitrification",-15.2581567343761,-0.226576559444932,0.978777147932719,0.978118507696148
7.5,4,"eta_SP_diffusion","Nitrification",0.503966181232762,0.0349611451971722,0.978777147932719,0.978118507696148
7.5,4,"eta_18O_diffusion","Nitrification",-0.048856195669102,-0.00318892223211988,0.978777147932719,0.978118507696148
7.5,4,"SP_nitrification","Nitrification",-0.218026145507137,-0.0958429670528233,0.978777147932719,0.978118507696148
7.5,4,"d18O_nitrification","Nitrification",0.102130738313837,0.0711441488771054,0.978777147932719,0.978118507696148
7.5,4,"SP_denitrification","Nitrification",-0.460524774183224,-0.542250423274675,0.978777147932719,0.978118507696148
7.5,4,"d18O_denitrification","Nitrification",0.218681915909963,0.16118134471402,0.978777147932719,0.978118507696148
7.5,4,"eta_SP_reduction","Nitrification",1.0226735356211,0.366906322755328,0.978777147932719,0.978118507696148
7.5,4,"eta_18O_reduction","Nitrification",-0.522736250283218,-0.683155598634597,0.978777147932719,0.978118507696148
7.5,4,"BD","Denitrification",-2.0243273511761,-0.039939582483159,0.969951594498789,0.969019057776337
7.5,4,"eta_SP_diffusion","Denitrification",-0.346174836777142,-0.0319072682623101,0.969951594498789,0.969019057776337
7.5,4,"eta_18O_diffusion","Denitrification",-0.150481797208151,-0.0130502287075852,0.969951594498789,0.969019057776337
7.5,4,"SP_nitrification","Denitrification",0.15219318101906,0.0888907844641645,0.969951594498789,0.969019057776337
7.5,4,"d18O_nitrification","Denitrification",0.0406577337606127,0.0376301332178061,0.969951594498789,0.969019057776337
7.5,4,"SP_denitrification","Denitrification",0.269053196238029,0.420915509570858,0.969951594498789,0.969019057776337
7.5,4,"d18O_denitrification","Denitrification",0.203092465680439,0.198886629694139,0.969951594498789,0.969019057776337
7.5,4,"eta_SP_reduction","Denitrification",-0.576678703976223,-0.274891912973292,0.969951594498789,0.969019057776337
7.5,4,"eta_18O_reduction","Denitrification",-0.456437598827083,-0.792552968839903,0.969951594498789,0.969019057776337
7.5,4,"BD","Reduction",12.7022609992955,0.236743122250898,0.985304855392276,0.984848799180312
