,day_column_depth,date_R,column,depth,increment,variety,moisture,concNO3N,NO3N_ha,N2O,CO2,mgN2ONm3,mgCO2Cm3,gN2ONha,gCO2Cha,CN,d15Nbulk,d15Nalpha,d15Nbeta,SP,d18O
71,2015240 C11 120,2015240,C11,120,30,Zinal,0.314036979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,2015240 C11 30,2015240,C11,30,30,Zinal,0.299588021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,2015240 C11 60,2015240,C11,60,30,Zinal,0.319594271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,2015240 C11 7.5,2015240,C11,7.5,15,Zinal,0.225625521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,2015240 C11 90,2015240,C11,90,30,Zinal,0.314996875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,2015240 C12 120,2015240,C12,120,30,Monte Calme 268,0.3153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,2015240 C12 30,2015240,C12,30,30,Monte Calme 268,0.280289063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,2015240 C12 60,2015240,C12,60,30,Monte Calme 268,0.287513542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,2015240 C12 7.5,2015240,C12,7.5,15,Monte Calme 268,0.273923438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,2015240 C12 90,2015240,C12,90,30,Monte Calme 268,0.311359375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,2015240 C2 120,2015240,C2,120,30,Probus,0.2959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,2015240 C2 30,2015240,C2,30,30,Probus,0.238558854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,2015240 C2 60,2015240,C2,60,30,Probus,0.303276042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,2015240 C2 7.5,2015240,C2,7.5,15,Probus,0.270892188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,2015240 C2 90,2015240,C2,90,30,Probus,0.316765104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,2015240 C3 120,2015240,C3,120,30,CH Claro,0.292666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,2015240 C3 30,2015240,C3,30,30,CH Claro,0.305549479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,2015240 C3 60,2015240,C3,60,30,CH Claro,0.234921354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,2015240 C3 7.5,2015240,C3,7.5,15,CH Claro,0.26376875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,2015240 C3 90,2015240,C3,90,30,CH Claro,0.314946354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
