"variable","column","depth","bandwidth","cost"
"N2O",7,7.5,10.5737126344056,0.26886668049877
"SP",7,7.5,10.5737126344056,13.0807600538243
"d18O",7,7.5,10.5737126344056,2.4635702051655
"N2O",8,7.5,10.5737126344056,0.556299322799434
"SP",8,7.5,10.5737126344056,10.2711712614289
"d18O",8,7.5,10.5737126344056,2.41863107344697
"N2O",9,7.5,10.5737126344056,0.0921662504588748
"SP",9,7.5,10.5737126344056,12.4803579163276
"d18O",9,7.5,10.5737126344056,1.61747714907531
"N2O",10,7.5,10.5737126344056,0.191095054624368
"SP",10,7.5,10.5737126344056,14.1952370203363
"d18O",10,7.5,10.5737126344056,2.92248908245672
"N2O",11,7.5,10.5737126344056,0.233620616798041
"SP",11,7.5,10.5737126344056,6.9769204383925
"d18O",11,7.5,10.5737126344056,2.17019775975279
"N2O",12,7.5,10.5737126344056,3.09504747194356
"SP",12,7.5,10.5737126344056,7.36118598931154
"d18O",12,7.5,10.5737126344056,5.3268756384814
"N2O",1,30,10.5737126344056,0.366112453530639
"SP",1,30,10.5737126344056,7.10758848270556
"d18O",1,30,10.5737126344056,1.74357790664875
"N2O",2,30,10.5737126344056,0.688454149641457
"SP",2,30,10.5737126344056,7.50943322636742
"d18O",2,30,10.5737126344056,1.86714342089538
"N2O",3,30,10.5737126344056,0.160252084554984
"SP",3,30,10.5737126344056,7.11328812856915
"d18O",3,30,10.5737126344056,3.15117642530374
"N2O",4,30,10.5737126344056,0.285242171900326
"SP",4,30,10.5737126344056,7.72311115180087
"d18O",4,30,10.5737126344056,2.31975086534777
"N2O",5,30,10.5737126344056,0.740232892874954
"SP",5,30,10.5737126344056,12.2931619251857
"d18O",5,30,10.5737126344056,3.13915833168092
"N2O",6,30,10.5737126344056,0.705329327820246
"SP",6,30,10.5737126344056,7.8933873412717
"d18O",6,30,10.5737126344056,1.9529730493713
"N2O",7,30,10.5737126344056,0.271419674812083
"SP",7,30,10.5737126344056,10.1908188595563
"d18O",7,30,10.5737126344056,1.02511356272632
"N2O",8,30,10.5737126344056,0.776110465111554
"SP",8,30,10.5737126344056,10.9140343440034
"d18O",8,30,10.5737126344056,1.96374197114853
"N2O",9,30,10.5737126344056,0.992403513664272
"SP",9,30,10.5737126344056,7.4677479604212
"d18O",9,30,10.5737126344056,2.88726571092043
"N2O",10,30,10.5737126344056,0.292988190886956
