"variable","column","depth","bandwidth","cost"
"N2O",9,90,5.31522479724696,2.08878078934259
"SP",9,90,5.31522479724696,3.85635342778814
"d18O",9,90,5.31522479724696,3.79696840512128
"N2O",10,90,5.31522479724696,1.3635169111354
"SP",10,90,5.31522479724696,11.852761134229
"d18O",10,90,5.31522479724696,2.83289294508766
"N2O",11,90,5.31522479724696,2.54250578840133
"SP",11,90,5.31522479724696,4.34576582514943
"d18O",11,90,5.31522479724696,6.30188188386843
"N2O",12,90,5.31522479724696,3.35322309934544
"SP",12,90,5.31522479724696,2.5081315894089
"d18O",12,90,5.31522479724696,5.329563446922
"N2O",1,120,5.31522479724696,0.907674603611192
"SP",1,120,5.31522479724696,2.77664974001137
"d18O",1,120,5.31522479724696,3.54268723865765
"N2O",2,120,5.31522479724696,1.75930377724962
"SP",2,120,5.31522479724696,3.86596644815095
"d18O",2,120,5.31522479724696,3.61841403492508
"N2O",3,120,5.31522479724696,2.1555546448731
"SP",3,120,5.31522479724696,7.80082504666534
"d18O",3,120,5.31522479724696,4.49408871902603
"N2O",4,120,5.31522479724696,2.69740697148178
"SP",4,120,5.31522479724696,5.01738294342653
"d18O",4,120,5.31522479724696,5.38193794320274
"N2O",5,120,5.31522479724696,0.356680556689812
"SP",5,120,5.31522479724696,8.27438581114539
"d18O",5,120,5.31522479724696,2.11659177551896
"N2O",6,120,5.31522479724696,0.265543275503935
"SP",6,120,5.31522479724696,12.0185171172854
"d18O",6,120,5.31522479724696,3.64006418678228
"N2O",7,120,5.31522479724696,1.63296060502299
"SP",7,120,5.31522479724696,4.70512873042318
"d18O",7,120,5.31522479724696,2.90483197169167
"N2O",8,120,5.31522479724696,1.5433195322557
"SP",8,120,5.31522479724696,12.0615525188172
"d18O",8,120,5.31522479724696,3.04031470394313
"N2O",9,120,5.31522479724696,2.71735106091725
"SP",9,120,5.31522479724696,6.86753281022961
"d18O",9,120,5.31522479724696,8.53832429545043
"N2O",10,120,5.31522479724696,1.06476777493289
"SP",10,120,5.31522479724696,7.52838791133305
"d18O",10,120,5.31522479724696,5.39418838127522
"N2O",11,120,5.31522479724696,2.57560096951458
"SP",11,120,5.31522479724696,3.87725034009416
"d18O",11,120,5.31522479724696,6.4824339550656
"N2O",12,120,5.31522479724696,3.87690144508913
"SP",12,120,5.31522479724696,3.06822493607811
"d18O",12,120,5.31522479724696,8.33889372101696
"N2O",1,7.5,5.65032292905379,0.761172033487502
"SP",1,7.5,5.65032292905379,8.88697928423438
"d18O",1,7.5,5.65032292905379,4.47229184528968
"N2O",2,7.5,5.65032292905379,0.0614786151711499
"SP",2,7.5,5.65032292905379,8.15731635918315
"d18O",2,7.5,5.65032292905379,2.32643767387489
"N2O",3,7.5,5.65032292905379,0.198311796435049
"SP",3,7.5,5.65032292905379,7.11947754078951
"d18O",3,7.5,5.65032292905379,1.50096164168132
"N2O",4,7.5,5.65032292905379,0.46034631052049
"SP",4,7.5,5.65032292905379,7.51578044523921
"d18O",4,7.5,5.65032292905379,3.8186229569255
"N2O",5,7.5,5.65032292905379,0.200783580337064
"SP",5,7.5,5.65032292905379,11.0635596589486
"d18O",5,7.5,5.65032292905379,2.18096097297675
"N2O",6,7.5,5.65032292905379,0.769583939602231
"SP",6,7.5,5.65032292905379,11.3079074612689
"d18O",6,7.5,5.65032292905379,4.04894080434281
"N2O",7,7.5,5.65032292905379,0.301571409535304
"SP",7,7.5,5.65032292905379,14.4764605959631
"d18O",7,7.5,5.65032292905379,2.94095774372648
"N2O",8,7.5,5.65032292905379,0.533108316405104
"SP",8,7.5,5.65032292905379,11.7205137731203
"d18O",8,7.5,5.65032292905379,2.38003276119533
"N2O",9,7.5,5.65032292905379,0.10059781616961
"SP",9,7.5,5.65032292905379,13.4866775929916
"d18O",9,7.5,5.65032292905379,1.60657278868751
"N2O",10,7.5,5.65032292905379,0.205125985001605
"SP",10,7.5,5.65032292905379,14.4698004756759
"d18O",10,7.5,5.65032292905379,2.84202840399906
"N2O",11,7.5,5.65032292905379,0.217800819868323
"SP",11,7.5,5.65032292905379,7.67894379234739
"d18O",11,7.5,5.65032292905379,2.03245393512828
"N2O",12,7.5,5.65032292905379,3.78849156569734
"SP",12,7.5,5.65032292905379,7.86513335330536
"d18O",12,7.5,5.65032292905379,7.15158698111302
"N2O",1,30,5.65032292905379,0.419458158756603
"SP",1,30,5.65032292905379,7.72785638340311
"d18O",1,30,5.65032292905379,1.83206980483033
"N2O",2,30,5.65032292905379,0.763239603274676
"SP",2,30,5.65032292905379,8.23176955764285
"d18O",2,30,5.65032292905379,2.0785095013639
"N2O",3,30,5.65032292905379,0.179894722872757
"SP",3,30,5.65032292905379,7.92432878240208
"d18O",3,30,5.65032292905379,3.17561632024519
"N2O",4,30,5.65032292905379,0.272790668962554
"SP",4,30,5.65032292905379,9.0870449607911
"d18O",4,30,5.65032292905379,2.26641852461485
"N2O",5,30,5.65032292905379,0.785912060127438
"SP",5,30,5.65032292905379,13.8268733703131
"d18O",5,30,5.65032292905379,2.91669800466126
"N2O",6,30,5.65032292905379,0.773918194057792
"SP",6,30,5.65032292905379,8.49189951344295
"d18O",6,30,5.65032292905379,2.00065448141807
"N2O",7,30,5.65032292905379,0.317502681573283
"SP",7,30,5.65032292905379,10.1714279206375
"d18O",7,30,5.65032292905379,1.05427530874157
"N2O",8,30,5.65032292905379,0.812894602547613
"SP",8,30,5.65032292905379,12.0381577089606
"d18O",8,30,5.65032292905379,2.22812488585579
"N2O",9,30,5.65032292905379,1.15960562272026
"SP",9,30,5.65032292905379,7.78147654650661
"d18O",9,30,5.65032292905379,2.9945794450307
"N2O",10,30,5.65032292905379,0.277359365435366
"SP",10,30,5.65032292905379,12.0497123333396
"d18O",10,30,5.65032292905379,3.60252707577598
"N2O",11,30,5.65032292905379,0.650787637634371
"SP",11,30,5.65032292905379,7.00381157675211
"d18O",11,30,5.65032292905379,3.47740113196849
"N2O",12,30,5.65032292905379,1.37981966482682
"SP",12,30,5.65032292905379,5.55106056065465
"d18O",12,30,5.65032292905379,2.82745728381418
"N2O",1,60,5.65032292905379,0.618428390957701
"SP",1,60,5.65032292905379,3.87083515170153
"d18O",1,60,5.65032292905379,3.54595942447612
"N2O",2,60,5.65032292905379,1.2827263354618
"SP",2,60,5.65032292905379,5.76854798993094
"d18O",2,60,5.65032292905379,3.46575779316958
"N2O",3,60,5.65032292905379,1.55121945392769
"SP",3,60,5.65032292905379,6.63504016748179
"d18O",3,60,5.65032292905379,4.06078041532197
"N2O",4,60,5.65032292905379,1.60916779922501
"SP",4,60,5.65032292905379,9.21946289958126
"d18O",4,60,5.65032292905379,3.86790324276396
"N2O",5,60,5.65032292905379,0.37825318645209
"SP",5,60,5.65032292905379,8.06072211888835
"d18O",5,60,5.65032292905379,1.69126905613551
"N2O",6,60,5.65032292905379,0.347538741518243
"SP",6,60,5.65032292905379,9.34076063529549
"d18O",6,60,5.65032292905379,1.49826566142942
"N2O",7,60,5.65032292905379,1.70076875723031
"SP",7,60,5.65032292905379,5.6911350549871
"d18O",7,60,5.65032292905379,4.97809959968098
"N2O",8,60,5.65032292905379,1.30264332281754
"SP",8,60,5.65032292905379,10.6469538722098
"d18O",8,60,5.65032292905379,6.61677454228739
"N2O",9,60,5.65032292905379,1.10684219500044
"SP",9,60,5.65032292905379,7.15497076805156
"d18O",9,60,5.65032292905379,5.37697140430954
"N2O",10,60,5.65032292905379,1.04883484480357
"SP",10,60,5.65032292905379,11.0572616010606
"d18O",10,60,5.65032292905379,2.10864662129084
"N2O",11,60,5.65032292905379,1.39726752212857
"SP",11,60,5.65032292905379,4.846650644621
"d18O",11,60,5.65032292905379,5.53459352931655
"N2O",12,60,5.65032292905379,2.26427028195588
"SP",12,60,5.65032292905379,4.78715860438698
"d18O",12,60,5.65032292905379,4.80434009484126
"N2O",1,90,5.65032292905379,0.846579463579466
"SP",1,90,5.65032292905379,3.06902853291871
"d18O",1,90,5.65032292905379,5.28187742368308
"N2O",2,90,5.65032292905379,1.44523990017516
"SP",2,90,5.65032292905379,4.69728444026693
"d18O",2,90,5.65032292905379,3.83369254092894
"N2O",3,90,5.65032292905379,2.02010492522293
"SP",3,90,5.65032292905379,8.95992217585549
"d18O",3,90,5.65032292905379,3.44968811813639
"N2O",4,90,5.65032292905379,1.81329884494455
"SP",4,90,5.65032292905379,8.69701938622709
"d18O",4,90,5.65032292905379,5.72718908562245
"N2O",5,90,5.65032292905379,0.404394955991741
"SP",5,90,5.65032292905379,12.9478425066702
"d18O",5,90,5.65032292905379,2.39026153233266
"N2O",6,90,5.65032292905379,0.261230564601282
"SP",6,90,5.65032292905379,3.85810111687212
"d18O",6,90,5.65032292905379,2.70972586787751
"N2O",7,90,5.65032292905379,1.72726855162217
"SP",7,90,5.65032292905379,8.818488284418
"d18O",7,90,5.65032292905379,4.97225272871653
"N2O",8,90,5.65032292905379,1.09247919707031
"SP",8,90,5.65032292905379,11.472166848894
"d18O",8,90,5.65032292905379,5.56302522046741
"N2O",9,90,5.65032292905379,1.96983005820322
"SP",9,90,5.65032292905379,4.01597993423669
"d18O",9,90,5.65032292905379,4.11733149093378
"N2O",10,90,5.65032292905379,1.35593138936368
"SP",10,90,5.65032292905379,13.6491180091732
"d18O",10,90,5.65032292905379,2.77174709656543
"N2O",11,90,5.65032292905379,2.25441386912901
"SP",11,90,5.65032292905379,3.97123238508656
"d18O",11,90,5.65032292905379,6.12044733510204
"N2O",12,90,5.65032292905379,3.09924299984285
"SP",12,90,5.65032292905379,2.35044950760902
"d18O",12,90,5.65032292905379,5.05274350607252
"N2O",1,120,5.65032292905379,0.886804170039809
"SP",1,120,5.65032292905379,2.74901968266529
"d18O",1,120,5.65032292905379,3.4722912960316
"N2O",2,120,5.65032292905379,1.84684717432069
"SP",2,120,5.65032292905379,3.6805511353655
"d18O",2,120,5.65032292905379,3.6466291349991
"N2O",3,120,5.65032292905379,2.06684581717288
"SP",3,120,5.65032292905379,7.2176033470272
"d18O",3,120,5.65032292905379,4.91824472571198
"N2O",4,120,5.65032292905379,2.65079580616574
"SP",4,120,5.65032292905379,4.67214874986719
"d18O",4,120,5.65032292905379,5.54731636382124
"N2O",5,120,5.65032292905379,0.330858055234912
"SP",5,120,5.65032292905379,7.65567384998824
"d18O",5,120,5.65032292905379,2.16419342383086
"N2O",6,120,5.65032292905379,0.308818433635732
"SP",6,120,5.65032292905379,12.196312789888
"d18O",6,120,5.65032292905379,3.62463538446164
"N2O",7,120,5.65032292905379,1.35883441158007
"SP",7,120,5.65032292905379,4.67636413576542
"d18O",7,120,5.65032292905379,3.15922042833819
"N2O",8,120,5.65032292905379,1.56842614290357
"SP",8,120,5.65032292905379,12.692621305817
"d18O",8,120,5.65032292905379,3.05352611313751
"N2O",9,120,5.65032292905379,2.63438498831595
"SP",9,120,5.65032292905379,6.98677537214255
"d18O",9,120,5.65032292905379,9.13245167192138
"N2O",10,120,5.65032292905379,1.08719770001867
"SP",10,120,5.65032292905379,7.47217965030618
"d18O",10,120,5.65032292905379,5.15458143970733
"N2O",11,120,5.65032292905379,2.7221778688706
"SP",11,120,5.65032292905379,3.89144145248571
"d18O",11,120,5.65032292905379,6.50917916461858
"N2O",12,120,5.65032292905379,3.70957734644745
"SP",12,120,5.65032292905379,2.93903503896616
"d18O",12,120,5.65032292905379,7.99301243901402
"N2O",1,7.5,6.00654730899196,0.80569234399291
"SP",1,7.5,6.00654730899196,8.76593370096314
"d18O",1,7.5,6.00654730899196,4.00196975423685
"N2O",2,7.5,6.00654730899196,0.0602949137240173
"SP",2,7.5,6.00654730899196,8.16460200168015
"d18O",2,7.5,6.00654730899196,2.35281331533041
"N2O",3,7.5,6.00654730899196,0.19254013410822
"SP",3,7.5,6.00654730899196,7.13817598475429
"d18O",3,7.5,6.00654730899196,1.53536840781215
"N2O",4,7.5,6.00654730899196,0.436066867461638
"SP",4,7.5,6.00654730899196,7.85788611131587
"d18O",4,7.5,6.00654730899196,3.71796589437562
"N2O",5,7.5,6.00654730899196,0.210954498155198
"SP",5,7.5,6.00654730899196,9.97277686820395
"d18O",5,7.5,6.00654730899196,2.13173290272427
"N2O",6,7.5,6.00654730899196,0.785527836231668
"SP",6,7.5,6.00654730899196,11.5223127651465
"d18O",6,7.5,6.00654730899196,3.83181132366499
"N2O",7,7.5,6.00654730899196,0.270260996437124
"SP",7,7.5,6.00654730899196,14.1331367083897
"d18O",7,7.5,6.00654730899196,3.06826386691267
"N2O",8,7.5,6.00654730899196,0.570506218099387
"SP",8,7.5,6.00654730899196,10.7255720023122
"d18O",8,7.5,6.00654730899196,2.47077331288064
"N2O",9,7.5,6.00654730899196,0.100128536846236
"SP",9,7.5,6.00654730899196,13.723289742447
"d18O",9,7.5,6.00654730899196,1.62144318311564
"N2O",10,7.5,6.00654730899196,0.200011447692202
"SP",10,7.5,6.00654730899196,14.7424195686524
"d18O",10,7.5,6.00654730899196,2.90876305015805
"N2O",11,7.5,6.00654730899196,0.241554742840114
"SP",11,7.5,6.00654730899196,7.64346495597845
"d18O",11,7.5,6.00654730899196,2.08892599466932
"N2O",12,7.5,6.00654730899196,3.09607275627505
"SP",12,7.5,6.00654730899196,8.1723028002797
"d18O",12,7.5,6.00654730899196,6.11659291325819
"N2O",1,30,6.00654730899196,0.395981232576381
"SP",1,30,6.00654730899196,8.20140763314787
"d18O",1,30,6.00654730899196,1.73689058982007
"N2O",2,30,6.00654730899196,0.793485174651985
"SP",2,30,6.00654730899196,7.47790916097892
"d18O",2,30,6.00654730899196,2.12508525660153
"N2O",3,30,6.00654730899196,0.15526698707199
"SP",3,30,6.00654730899196,7.41699422575631
"d18O",3,30,6.00654730899196,3.16992672493102
"N2O",4,30,6.00654730899196,0.276978965784725
"SP",4,30,6.00654730899196,8.59253708559136
"d18O",4,30,6.00654730899196,2.35826744090249
"N2O",5,30,6.00654730899196,0.806020225283017
"SP",5,30,6.00654730899196,13.9993757103286
"d18O",5,30,6.00654730899196,3.06136189196939
"N2O",6,30,6.00654730899196,0.790960777088065
"SP",6,30,6.00654730899196,8.63510315678876
"d18O",6,30,6.00654730899196,2.18810986112793
"N2O",7,30,6.00654730899196,0.308298381900992
"SP",7,30,6.00654730899196,10.2391308649859
"d18O",7,30,6.00654730899196,0.999038523670075
